,Date,Case Count,County
0,2020-02-01,3.0,Alameda
1,2020-02-02,3.0,Alameda
2,2020-02-03,3.0,Alameda
3,2020-02-04,3.0,Alameda
4,2020-02-05,3.0,Alameda
5,2020-02-06,3.0,Alameda
6,2020-02-07,3.0,Alameda
7,2020-02-08,3.0,Alameda
8,2020-02-09,4.0,Alameda
9,2020-02-10,4.0,Alameda
10,2020-02-11,4.0,Alameda
11,2020-02-12,4.0,Alameda
12,2020-02-13,4.0,Alameda
13,2020-02-14,4.0,Alameda
14,2020-02-15,5.0,Alameda
15,2020-02-16,5.0,Alameda
16,2020-02-17,6.0,Alameda
17,2020-02-18,6.0,Alameda
18,2020-02-19,6.0,Alameda
19,2020-02-20,7.0,Alameda
20,2020-02-21,9.0,Alameda
21,2020-02-22,10.0,Alameda
22,2020-02-23,11.0,Alameda
23,2020-02-24,13.0,Alameda
24,2020-02-25,13.0,Alameda
25,2020-02-26,13.0,Alameda
26,2020-02-27,13.0,Alameda
27,2020-02-28,14.0,Alameda
28,2020-02-29,16.0,Alameda
29,2020-03-01,20.0,Alameda
30,2020-03-02,21.0,Alameda
31,2020-03-03,24.0,Alameda
32,2020-03-04,30.0,Alameda
33,2020-03-05,34.0,Alameda
34,2020-03-06,39.0,Alameda
35,2020-03-07,41.0,Alameda
36,2020-03-08,46.0,Alameda
37,2020-03-09,71.0,Alameda
38,2020-03-10,99.0,Alameda
39,2020-03-11,120.0,Alameda
40,2020-03-12,152.0,Alameda
41,2020-03-13,177.0,Alameda
42,2020-03-14,196.0,Alameda
43,2020-03-15,215.0,Alameda
44,2020-03-16,262.0,Alameda
45,2020-03-17,291.0,Alameda
46,2020-03-18,323.0,Alameda
47,2020-03-19,351.0,Alameda
48,2020-03-20,387.0,Alameda
49,2020-03-21,408.0,Alameda
50,2020-03-22,432.0,Alameda
51,2020-03-23,471.0,Alameda
52,2020-03-24,502.0,Alameda
53,2020-03-25,534.0,Alameda
54,2020-03-26,555.0,Alameda
55,2020-03-27,595.0,Alameda
56,2020-03-28,614.0,Alameda
57,2020-03-29,641.0,Alameda
58,2020-03-30,675.0,Alameda
59,2020-03-31,715.0,Alameda
60,2020-04-01,783.0,Alameda
61,2020-04-02,809.0,Alameda
62,2020-04-03,860.0,Alameda
63,2020-04-04,896.0,Alameda
64,2020-04-05,919.0,Alameda
65,2020-04-06,961.0,Alameda
66,2020-04-07,991.0,Alameda
67,2020-04-08,1026.0,Alameda
68,2020-04-09,1067.0,Alameda
69,2020-04-10,1117.0,Alameda
70,2020-04-11,1158.0,Alameda
71,2020-04-12,1199.0,Alameda
72,2020-04-13,1242.0,Alameda
73,2020-04-14,1281.0,Alameda
74,2020-04-15,1326.0,Alameda
75,2020-04-16,1376.0,Alameda
76,2020-04-17,1409.0,Alameda
77,2020-04-18,1464.0,Alameda
78,2020-04-19,1489.0,Alameda
79,2020-04-20,1539.0,Alameda
80,2020-04-21,1572.0,Alameda
81,2020-04-22,1602.0,Alameda
82,2020-04-23,1651.0,Alameda
83,2020-04-24,1689.0,Alameda
84,2020-04-25,1720.0,Alameda
85,2020-04-26,1745.0,Alameda
86,2020-04-27,1806.0,Alameda
87,2020-04-28,1866.0,Alameda
88,2020-04-29,1923.0,Alameda
89,2020-04-30,1981.0,Alameda
90,2020-05-01,2041.0,Alameda
91,2020-05-02,2079.0,Alameda
92,2020-05-03,2116.0,Alameda
93,2020-05-04,2172.0,Alameda
94,2020-05-05,2231.0,Alameda
95,2020-05-06,2274.0,Alameda
96,2020-05-07,2312.0,Alameda
97,2020-05-08,2372.0,Alameda
98,2020-05-09,2415.0,Alameda
99,2020-05-10,2458.0,Alameda
100,2020-05-11,2535.0,Alameda
101,2020-05-12,2585.0,Alameda
102,2020-05-13,2648.0,Alameda
103,2020-05-14,2706.0,Alameda
104,2020-05-15,2799.0,Alameda
105,2020-05-16,2833.0,Alameda
106,2020-05-17,2883.0,Alameda
107,2020-05-18,2978.0,Alameda
108,2020-05-19,3050.0,Alameda
109,2020-05-20,3127.0,Alameda
110,2020-05-21,3201.0,Alameda
111,2020-05-22,3266.0,Alameda
112,2020-05-23,3320.0,Alameda
113,2020-05-24,3361.0,Alameda
114,2020-05-25,3434.0,Alameda
115,2020-05-26,3527.0,Alameda
116,2020-05-27,3622.0,Alameda
117,2020-05-28,3705.0,Alameda
118,2020-05-29,3805.0,Alameda
119,2020-05-30,3840.0,Alameda
120,2020-05-31,3866.0,Alameda
121,2020-06-01,3972.0,Alameda
122,2020-06-02,4037.0,Alameda
123,2020-06-03,4113.0,Alameda
124,2020-06-04,4172.0,Alameda
125,2020-06-05,4271.0,Alameda
126,2020-06-06,4322.0,Alameda
127,2020-06-07,4367.0,Alameda
128,2020-06-08,4480.0,Alameda
129,2020-06-09,4560.0,Alameda
130,2020-06-10,4670.0,Alameda
131,2020-06-11,4770.0,Alameda
132,2020-06-12,4900.0,Alameda
133,2020-06-13,4973.0,Alameda
134,2020-06-14,5036.0,Alameda
135,2020-06-15,5181.0,Alameda
136,2020-06-16,5307.0,Alameda
137,2020-06-17,5423.0,Alameda
138,2020-06-18,5546.0,Alameda
139,2020-06-19,5675.0,Alameda
140,2020-06-20,5746.0,Alameda
141,2020-06-21,5808.0,Alameda
142,2020-06-22,6004.0,Alameda
143,2020-06-23,6155.0,Alameda
144,2020-06-24,6336.0,Alameda
145,2020-06-25,6498.0,Alameda
146,2020-06-26,6689.0,Alameda
147,2020-06-27,6775.0,Alameda
148,2020-06-28,6870.0,Alameda
149,2020-06-29,7129.0,Alameda
150,2020-06-30,7339.0,Alameda
151,2020-07-01,7588.0,Alameda
152,2020-07-02,7810.0,Alameda
153,2020-07-03,7936.0,Alameda
154,2020-07-04,8057.0,Alameda
155,2020-07-05,8169.0,Alameda
156,2020-07-06,8421.0,Alameda
157,2020-07-07,8659.0,Alameda
158,2020-07-08,8978.0,Alameda
159,2020-07-09,9270.0,Alameda
160,2020-07-10,9506.0,Alameda
161,2020-07-11,9663.0,Alameda
162,2020-07-12,9765.0,Alameda
163,2020-07-13,10036.0,Alameda
164,2020-07-14,10344.0,Alameda
165,2020-07-15,10686.0,Alameda
166,2020-07-16,10889.0,Alameda
167,2020-07-17,11123.0,Alameda
168,2020-07-18,11263.0,Alameda
169,2020-07-19,11399.0,Alameda
170,2020-07-20,11637.0,Alameda
171,2020-07-21,11892.0,Alameda
172,2020-07-22,12106.0,Alameda
173,2020-07-23,12325.0,Alameda
174,2020-07-24,12564.0,Alameda
175,2020-07-25,12706.0,Alameda
176,2020-07-26,12803.0,Alameda
177,2020-07-27,13041.0,Alameda
178,2020-07-28,13268.0,Alameda
179,2020-07-29,13495.0,Alameda
180,2020-07-30,13714.0,Alameda
181,2020-07-31,13914.0,Alameda
182,2020-08-01,14045.0,Alameda
183,2020-08-02,14157.0,Alameda
184,2020-08-03,14401.0,Alameda
185,2020-08-04,14584.0,Alameda
186,2020-08-05,14801.0,Alameda
187,2020-08-06,15014.0,Alameda
188,2020-08-07,15236.0,Alameda
189,2020-08-08,15345.0,Alameda
190,2020-08-09,15455.0,Alameda
191,2020-08-10,15735.0,Alameda
192,2020-08-11,15977.0,Alameda
193,2020-08-12,16236.0,Alameda
194,2020-08-13,16449.0,Alameda
195,2020-08-14,16724.0,Alameda
196,2020-08-15,16863.0,Alameda
197,2020-08-16,16940.0,Alameda
198,2020-08-17,17230.0,Alameda
199,2020-08-18,17422.0,Alameda
200,2020-08-19,17598.0,Alameda
201,2020-08-20,17757.0,Alameda
202,2020-08-21,17915.0,Alameda
203,2020-08-22,18006.0,Alameda
204,2020-08-23,18100.0,Alameda
205,2020-08-24,18323.0,Alameda
206,2020-08-25,18517.0,Alameda
207,2020-08-26,18674.0,Alameda
208,2020-08-27,18835.0,Alameda
209,2020-08-28,18980.0,Alameda
210,2020-08-29,19063.0,Alameda
211,2020-08-30,19130.0,Alameda
212,2020-08-31,19255.0,Alameda
213,2020-09-01,19399.0,Alameda
214,2020-09-02,19539.0,Alameda
215,2020-09-03,19659.0,Alameda
216,2020-09-04,19762.0,Alameda
217,2020-09-05,19830.0,Alameda
218,2020-09-06,19877.0,Alameda
219,2020-09-07,19935.0,Alameda
220,2020-09-08,20057.0,Alameda
221,2020-09-09,20165.0,Alameda
222,2020-09-10,20244.0,Alameda
223,2020-09-11,20318.0,Alameda
224,2020-09-12,20373.0,Alameda
225,2020-09-13,20432.0,Alameda
226,2020-09-14,20538.0,Alameda
227,2020-09-15,20665.0,Alameda
228,2020-09-16,20772.0,Alameda
229,2020-09-17,20869.0,Alameda
230,2020-09-18,20967.0,Alameda
231,2020-09-19,21032.0,Alameda
232,2020-09-20,21083.0,Alameda
233,2020-09-21,21183.0,Alameda
234,2020-09-22,21262.0,Alameda
235,2020-09-23,21342.0,Alameda
236,2020-09-24,21410.0,Alameda
237,2020-09-25,21485.0,Alameda
238,2020-09-26,21539.0,Alameda
239,2020-09-27,21597.0,Alameda
240,2020-09-28,21677.0,Alameda
